Date,total_dollar_oi
12-11-2022,4826353823.739252
13-11-2022,4801794910.489255
14-11-2022,4817012402.850315
15-11-2022,4877484050.220478
16-11-2022,5084988171.856956
17-11-2022,5192530147.679954
18-11-2022,5187111123.414736
19-11-2022,5176274488.462758
20-11-2022,4983702694.299118
21-11-2022,5046850766.662535
22-11-2022,5362058488.698428
23-11-2022,5484476628.123957
24-11-2022,5618661828.988644
25-11-2022,5663533769.141597
26-11-2022,5748007582.845699
27-11-2022,5741642069.050251
28-11-2022,5513497169.85489
29-11-2022,5912124944.417471
30-11-2022,6170298713.044184
01-12-2022,6387846976.069709
02-12-2022,6572602911.768427
03-12-2022,6134621862.358042
04-12-2022,6151724996.194698
05-12-2022,5812541541.858825
06-12-2022,5659402451.217995
07-12-2022,5508225470.372416
08-12-2022,5701687945.190431
09-12-2022,5556551906.27959
10-12-2022,5629459808.440314
11-12-2022,5561221534.102438
12-12-2022,5361671797.192637
13-12-2022,5497938651.549997
14-12-2022,5469374285.020317
15-12-2022,5354150914.79778
16-12-2022,4576354177.471448
17-12-2022,4731168228.775981
18-12-2022,4715138424.582204
19-12-2022,4626894100.923492
20-12-2022,4763781409.31957
21-12-2022,4784587622.108419
22-12-2022,4858092084.997718
23-12-2022,4871648784.145556
24-12-2022,4928090625.662477
25-12-2022,4904356791.892052
26-12-2022,5014796629.560013
27-12-2022,5125463436.49449
28-12-2022,5064940646.846313
29-12-2022,5088019254.951726
30-12-2022,5139339298.382732
31-12-2022,5103435414.593079
01-01-2023,5283919872.821104
02-01-2023,5256239479.879836
03-01-2023,5317072909.438692
04-01-2023,5485576962.0004015
05-01-2023,5482575750.039963
06-01-2023,5673203980.230259
07-01-2023,5714613769.151308
08-01-2023,5794341797.183531
09-01-2023,5821795082.819868
10-01-2023,6132038195.085161
11-01-2023,6123761120.931807
12-01-2023,6294075010.805548
13-01-2023,6584498769.550361
14-01-2023,6016387415.678154
15-01-2023,6084982737.482177
16-01-2023,6205625561.831114
17-01-2023,6341048133.920668
18-01-2023,5973960524.772893
19-01-2023,6276271597.634546
20-01-2023,6727303666.399555
21-01-2023,6556380095.513252
22-01-2023,6577979979.828745
23-01-2023,6620681593.080463
24-01-2023,6135044512.525362
25-01-2023,6278660024.300767
26-01-2023,6383617035.035437
27-01-2023,6563777783.899
28-01-2023,6515076457.388673
29-01-2023,7235130398.317825
30-01-2023,6339099961.770534
31-01-2023,6628208802.897682
01-02-2023,7032103257.451683
02-02-2023,6926036205.475715
03-02-2023,7144836347.897869
04-02-2023,7340491772.399265
05-02-2023,6994371134.912997
06-02-2023,6930611652.787586
07-02-2023,7385184265.212866
08-02-2023,7225156509.739739
09-02-2023,6238716608.378624
10-02-2023,6282672493.137301
11-02-2023,6448486492.689246
12-02-2023,6229601800.420692
13-02-2023,6328457886.313194
14-02-2023,6484770125.0409355
15-02-2023,7196307298.437209
16-02-2023,6723097576.517481
17-02-2023,7197177374.956598
18-02-2023,7437270493.041623
19-02-2023,7268412163.28197
20-02-2023,7695499562.005927
21-02-2023,7455312648.855614
22-02-2023,7138715934.168882
23-02-2023,7073809392.774264
24-02-2023,6888526151.335867
25-02-2023,6904775974.428658
26-02-2023,6988399080.383852
27-02-2023,6809600242.335484
28-02-2023,6766749946.176937
01-03-2023,7244338729.752405
02-03-2023,7366948105.291948
03-03-2023,6492625954.032005
04-03-2023,6357886704.191124
05-03-2023,6337470549.763886
06-03-2023,6506244845.864279
07-03-2023,6511681053.669081
08-03-2023,6450792674.024942
09-03-2023,5786466160.831232
10-03-2023,5523929016.769518
11-03-2023,5413350980.03932
12-03-2023,5611843663.30401
13-03-2023,6270171114.784994
14-03-2023,6352956233.164483
15-03-2023,5893021257.604353
16-03-2023,6362519562.669448
17-03-2023,7044637862.009607
18-03-2023,6867310979.1412735
19-03-2023,7247900172.043495
20-03-2023,6944398669.505986
21-03-2023,7285605896.589264
22-03-2023,6623033990.972134
23-03-2023,7227085877.618126
24-03-2023,6714444804.724247
25-03-2023,6676432954.822225
26-03-2023,6911830449.252413
27-03-2023,6678806523.115606
28-03-2023,7042102259.82571
29-03-2023,7593979208.086124
30-03-2023,7184960969.299149
31-03-2023,7851177797.466745
01-04-2023,7740301072.589073
02-04-2023,7477422753.879263
03-04-2023,7111255371.773054
04-04-2023,7783950181.578282
05-04-2023,7839973641.922632
06-04-2023,7583492587.540909
07-04-2023,7659804016.230247
08-04-2023,7626662857.935507
09-04-2023,7647731659.372819
10-04-2023,8457659684.560133
11-04-2023,8373929316.365766
12-04-2023,8553121793.1482315
13-04-2023,9418660320.16136
14-04-2023,9019733456.061436
15-04-2023,9191333368.38248
16-04-2023,9246511811.730135
17-04-2023,8990040805.847445
18-04-2023,9164279565.51828
19-04-2023,7844435285.430623
20-04-2023,7752597991.291579
21-04-2023,7413654771.340177
22-04-2023,7670520381.607272
23-04-2023,7498183427.991579
24-04-2023,7442157504.814558
25-04-2023,7679772990.634031
26-04-2023,6922300737.079903
27-04-2023,7348635872.765476
28-04-2023,7455205332.484207
29-04-2023,7519483604.48202
30-04-2023,7382976897.658058
01-05-2023,7398644622.181862
02-05-2023,7533996629.322806
03-05-2023,7455746083.796671
04-05-2023,7589414907.325612
05-05-2023,8227062669.514372
06-05-2023,7557409115.871021
07-05-2023,7417516549.338474
08-05-2023,7219091571.903782
09-05-2023,7370456445.890121
10-05-2023,7131132550.455271
11-05-2023,7276840477.897213
12-05-2023,7200674874.019917
13-05-2023,7195062314.555814
14-05-2023,7300966376.266688
15-05-2023,7339691714.145335
16-05-2023,7498545901.094109
17-05-2023,7647481816.524423
18-05-2023,7387554361.88809
19-05-2023,7400730928.567405
20-05-2023,7486945557.663334
21-05-2023,7455773145.89089
22-05-2023,7596798705.363777
23-05-2023,7747064038.662798
24-05-2023,7753008483.362573
25-05-2023,7686191452.340139
26-05-2023,7660480423.924347
27-05-2023,7768793182.452931
28-05-2023,8137277505.147291
29-05-2023,8053401492.597523
30-05-2023,8216539377.622769
31-05-2023,8043554554.833862
01-06-2023,8044983579.51528
02-06-2023,8370408414.199854
03-06-2023,8336506538.056761
04-06-2023,8288311557.319843
05-06-2023,7780588852.257483
06-06-2023,7677993083.401414
07-06-2023,7155032543.912735
08-06-2023,7231747934.753592
09-06-2023,7281405759.634687
10-06-2023,6274310214.443792
11-06-2023,6212207836.6886425
12-06-2023,6380118112.1412735
13-06-2023,6399125219.411062
14-06-2023,6134630119.852011
15-06-2023,6227991590.179413
16-06-2023,6308773773.476701
17-06-2023,6373192396.617323
18-06-2023,6316958963.257172
19-06-2023,6563087322.436511
20-06-2023,7245971471.575624
21-06-2023,7473959288.634052
22-06-2023,7415958453.135796
23-06-2023,7557176243.9336
24-06-2023,7432327477.598778
25-06-2023,7583759827.46501
26-06-2023,7561650394.975619
27-06-2023,7838872237.374021
28-06-2023,7376458956.462519
29-06-2023,7720689057.39431
30-06-2023,7688977702.196461
01-07-2023,7935517657.230104
02-07-2023,7936538412.848192
03-07-2023,8498303938.379444
04-07-2023,8159902982.687944
05-07-2023,7925391060.655945
06-07-2023,7327150015.70759
07-07-2023,7489683079.121929
08-07-2023,7545839080.013385
09-07-2023,7459521847.017676
10-07-2023,7566633437.326728
11-07-2023,7778632262.02171
12-07-2023,7811789936.284296
13-07-2023,8739592451.716042
14-07-2023,7653061043.554082
15-07-2023,7864385718.131233
16-07-2023,7833089148.332608
17-07-2023,7926320599.408872
18-07-2023,7920371733.276121
19-07-2023,7982937353.17087
20-07-2023,8149909869.33354
21-07-2023,8117554706.780685
22-07-2023,7951911952.442836
23-07-2023,7765468928.183454
24-07-2023,7845626803.480892
25-07-2023,7835114457.645187
26-07-2023,7925240328.632368
27-07-2023,8003952222.39338
28-07-2023,8099849877.278909
29-07-2023,8211691467.754989
30-07-2023,7951268887.555725
31-07-2023,8025824296.965202
01-08-2023,8098367787.130032
02-08-2023,8048782772.548994
03-08-2023,8046340057.426376
04-08-2023,8080775705.61042
05-08-2023,8102706145.773508
06-08-2023,8068526834.1941185
07-08-2023,8128413626.668745
08-08-2023,8472388405.963854
09-08-2023,8275041963.815993
10-08-2023,8373159745.144615
11-08-2023,8420764412.472668
12-08-2023,8476148648.374837
13-08-2023,8316092248.19048
14-08-2023,8175293892.424626
15-08-2023,8107249270.662156
16-08-2023,7929111978.442951
17-08-2023,6606018101.266972
18-08-2023,6093385128.073176
19-08-2023,5844119107.625826
20-08-2023,5975230172.816507
21-08-2023,5967491925.599097
22-08-2023,5778293777.515987
23-08-2023,5812055156.881678
24-08-2023,5797702686.921814
25-08-2023,5701212226.290096
26-08-2023,5772595650.926512
27-08-2023,5873662806.726238
28-08-2023,5796610244.274284
29-08-2023,6287201013.290575
30-08-2023,6123967143.569357
31-08-2023,5647419363.150283
01-09-2023,5550423313.870815
02-09-2023,5423905606.43558
03-09-2023,5442074040.015303
04-09-2023,5423040187.41752
05-09-2023,5622234875.956045
06-09-2023,5637095675.327236
07-09-2023,5766807213.299166
08-09-2023,5730332948.009134
09-09-2023,5696467794.235692
10-09-2023,5532146068.356239
11-09-2023,5660240234.04738
12-09-2023,5671381827.631128
13-09-2023,5910837084.353392
14-09-2023,6062477237.643708
15-09-2023,6075224597.944962
16-09-2023,6034591111.453882
17-09-2023,5797649107.291124
18-09-2023,6043716149.616318
19-09-2023,6257571231.786972
20-09-2023,6193068248.909992
21-09-2023,6191562112.189765
22-09-2023,6240668187.55389
23-09-2023,6229413215.538839
24-09-2023,6123135268.511338
25-09-2023,6255071863.899152
26-09-2023,6343847777.177217
27-09-2023,6202575053.586018
28-09-2023,6609760105.75185
29-09-2023,6509585562.139928
30-09-2023,6656913777.410217
01-10-2023,6770295861.625187
02-10-2023,6470288930.934977
03-10-2023,6366561443.130699
04-10-2023,6441344163.486576
05-10-2023,6461577625.295905
06-10-2023,6725058742.9109745
07-10-2023,6586697175.3034935
08-10-2023,6668636368.2528925
09-10-2023,6408051336.887504
10-10-2023,6497890468.24861
11-10-2023,6638600928.8446665
12-10-2023,6629636948.7088375
13-10-2023,6629171275.566582
14-10-2023,6731460280.987834
15-10-2023,6713288565.727549
16-10-2023,6554610624.099991
17-10-2023,6562184052.150947
18-10-2023,6374570622.751597
19-10-2023,6692159931.205786
20-10-2023,6862513810.609419
21-10-2023,7241549705.250592
22-10-2023,7279089697.11983
23-10-2023,7514932740.090849
24-10-2023,7285529182.119324
25-10-2023,7515094812.173166
26-10-2023,7538755688.852575
27-10-2023,7431436655.945015
28-10-2023,7542091423.493049
29-10-2023,7844333873.390988
30-10-2023,7961847340.32748
31-10-2023,8003106584.5301075
01-11-2023,8251180137.015712
02-11-2023,7741886679.254295
03-11-2023,7842057067.227337
04-11-2023,8194123493.058712
05-11-2023,8351233979.565986
06-11-2023,8683627607.107893
07-11-2023,8560223526.966051
08-11-2023,8854697357.273905
09-11-2023,8415904182.492084
10-11-2023,8710321759.69767
11-11-2023,8747183407.016685
12-11-2023,8784328758.05238
13-11-2023,8469125085.496431
14-11-2023,8161411051.4838085
15-11-2023,8933735070.86044
16-11-2023,8327349354.628717
17-11-2023,8237224732.279604
18-11-2023,8261953427.287612
19-11-2023,8577239056.988202
20-11-2023,8650871690.75153
21-11-2023,7855754347.028
22-11-2023,8661496280.153
23-11-2023,8737223193.043999
24-11-2023,8768382996.725
25-11-2023,8931930005.557001
26-11-2023,8657252366.547
27-11-2023,8573732953.9470005
28-11-2023,8756241632.282
29-11-2023,8811966173.225
30-11-2023,8904950845.089
01-12-2023,9458811626.586
02-12-2023,9685199761.354
03-12-2023,9661284460.455
04-12-2023,10019357801.088
05-12-2023,10205371071.052
06-12-2023,10002877284.545
07-12-2023,10414830324.613
08-12-2023,10706312269.162
09-12-2023,10456063180.743
10-12-2023,10738578940.756
11-12-2023,9312674897.108
12-12-2023,9597547615.546
13-12-2023,9723442762.324001
14-12-2023,9956620434.527
15-12-2023,9575410416.505001
16-12-2023,9821760630.052
17-12-2023,9605990100.936
18-12-2023,9675012281.036
19-12-2023,9665122528.886
20-12-2023,10226910010.253
21-12-2023,10642260194.686
22-12-2023,10901846628.206001
23-12-2023,11018126957.701
24-12-2023,10743480511.354
25-12-2023,11193694641.175001
26-12-2023,10844686660.947012
27-12-2023,11258806735.779
28-12-2023,10839007747.109
29-12-2023,10579271501.046
30-12-2023,10595277105.565
31-12-2023,10383171369.647999
01-01-2024,10984022397.621
02-01-2024,11156839680.615002
03-01-2024,9014485316.591
04-01-2024,9404704168.624
05-01-2024,9048425311.477999
06-01-2024,8904435710.566
07-01-2024,8714008409.751
08-01-2024,9417722550.9267
09-01-2024,9050174608.951756
10-01-2024,9734115806.680815
11-01-2024,10150879760.192705
12-01-2024,9787121494.962002
13-01-2024,10016865152.205997
14-01-2024,9800058567.273998
15-01-2024,9920052177.676
16-01-2024,10228335257.325
17-01-2024,10257822234.939001
18-01-2024,9982454692.264
19-01-2024,9868120490.262
20-01-2024,9928478580.858
21-01-2024,9861446776.809
22-01-2024,9408824185.374
23-01-2024,9001741615.935999
24-01-2024,9133563043.091
25-01-2024,9171098232.269001
26-01-2024,9632474900.95
27-01-2024,9690709300.043999
28-01-2024,9388744350.687
29-01-2024,9995102953.333
30-01-2024,9791598867.091
31-01-2024,9408243424.778
01-02-2024,9743532589.697
02-02-2024,9888550121.707
03-02-2024,9965928279.597
04-02-2024,9883207623.965
05-02-2024,10103555223.716
06-02-2024,10404916601.902
07-02-2024,10787037066.684
08-02-2024,10953684023.643
09-02-2024,11218544128.918
10-02-2024,11552676770.339
11-02-2024,11788886593.959
12-02-2024,12499626936.366001
13-02-2024,12239561501.261
14-02-2024,13018704972.747
15-02-2024,12918301224.015
16-02-2024,12844276640.315
17-02-2024,12791952634.572
18-02-2024,13026705689.121
19-02-2024,13460569732.900002
20-02-2024,13261552563.61
21-02-2024,12965259478.705
22-02-2024,12969857858.618
23-02-2024,13044205914.548
24-02-2024,13457916793.07
25-02-2024,13882937421.835
26-02-2024,14075180528.527725
27-02-2024,14092238704.85188
28-02-2024,14109170288.009521
29-02-2024,14142246227.231411
01-03-2024,15011468901.577759
02-03-2024,15437522059.527464
03-03-2024,15621898226.178902
04-03-2024,16493496353.60611
05-03-2024,14021853774.580738
06-03-2024,15127169326.89
07-03-2024,15748172872.935284
08-03-2024,16155107166.338959
09-03-2024,16748209257.868338
10-03-2024,16842698670.04211
11-03-2024,17820054759.307484
12-03-2024,17657910734.991997
13-03-2024,18377298429.859
14-03-2024,18624799969.696
15-03-2024,17281849476.725998
16-03-2024,16026540815.019
17-03-2024,16955308947.300999
18-03-2024,16476349381.302002
19-03-2024,14696774616.447998
20-03-2024,15821372392.308002
21-03-2024,15485025396.001001
22-03-2024,15055847530.963
23-03-2024,15232428860.678001
24-03-2024,16206764175.089
25-03-2024,17294071939.918
26-03-2024,17686771597.05
27-03-2024,17910261157.924
28-03-2024,18510614505.625
29-03-2024,18515041006.926003
30-03-2024,18446756995.508
31-03-2024,19428348476.905
01-04-2024,18384155606.984
02-04-2024,16532875736.102001
03-04-2024,16427467014.988
04-04-2024,16671163276.898
05-04-2024,16247952361.031
06-04-2024,16602938321.883
07-04-2024,17223287587.468
08-04-2024,18299769870.87
09-04-2024,17296922911.971
10-04-2024,17351580206.192
11-04-2024,17244944880.424
12-04-2024,14294479855.371
13-04-2024,11228448507.731998
14-04-2024,11685400095.725
15-04-2024,11028229749.31
16-04-2024,10850469269.293
17-04-2024,10649476764.281
18-04-2024,11073655790.593
19-04-2024,11119507998.288
20-04-2024,11760166489.095
21-04-2024,11634642374.251
22-04-2024,12235858260.024002
23-04-2024,12201226343.289
24-04-2024,11926459053.705
25-04-2024,11790642701.137
26-04-2024,11651401012.614002
27-04-2024,11744487751.861
28-04-2024,11669130496.025002
29-04-2024,11725460876.222
30-04-2024,11470238297.649002
01-05-2024,10769433672.662
02-05-2024,11094974241.557999
03-05-2024,12068327259.586002
04-05-2024,12367181349.901001
05-05-2024,12399414929.988998
06-05-2024,12135800472.094
07-05-2024,11806675058.216
08-05-2024,11618177488.999
09-05-2024,12114994721.409
10-05-2024,11961116087.776999
11-05-2024,11873893278.519001
12-05-2024,11883497625.601002
13-05-2024,12227554255.688
14-05-2024,11834286401.833
15-05-2024,13050191478.668
16-05-2024,12868139757.621
17-05-2024,13661785062.192999
18-05-2024,13814186611.595999
19-05-2024,13430735792.256
20-05-2024,15170536007.229002
21-05-2024,16302533472.636
22-05-2024,16072249938.043
23-05-2024,15187941227.609999
24-05-2024,15335084305.973
25-05-2024,15899905452.435005
26-05-2024,16041433217.444
27-05-2024,16706694924.088
28-05-2024,16321277037.866997
29-05-2024,16426978665.405
30-05-2024,16056293488.658998
31-05-2024,16299090839.745
01-06-2024,16594087905.693
02-06-2024,16423024093.848999
03-06-2024,16842620424.988998
04-06-2024,17654990079.588
05-06-2024,18222620839.999996
06-06-2024,17792341041.912003
07-06-2024,16459109534.829998
08-06-2024,15916041526.63
09-06-2024,16135339427.953999
10-06-2024,15983544519.465
11-06-2024,15117165822.244
12-06-2024,15423102409.780998
13-06-2024,14699570216.859001
14-06-2024,14301977574.178999
15-06-2024,14849537157.432
16-06-2024,15119392549.992002
17-06-2024,14569031996.456
18-06-2024,13487332086.244999
19-06-2024,13575319173.972
20-06-2024,13307219221.689999
21-06-2024,13397296249.538
22-06-2024,13502482451.888998
23-06-2024,13248402768.801998
24-06-2024,13417893263.012001
25-06-2024,13550817635.197
26-06-2024,13197749726.432
27-06-2024,13581119208.203999
28-06-2024,13421024466.57
29-06-2024,13544793065.261
30-06-2024,14234243084.751
01-07-2024,14172753607.681
02-07-2024,14259911648.116
03-07-2024,13874985719.396
04-07-2024,13097037745.635002
05-07-2024,11713518807.405
06-07-2024,12050741455.007
07-07-2024,11422474256.680998
08-07-2024,11413025681.196999
09-07-2024,11933593312.579002
10-07-2024,12113394339.286001
11-07-2024,12188303999.536001
12-07-2024,12322343999.550999
13-07-2024,12749589679.655
14-07-2024,13120804360.225
15-07-2024,13971815614.538002
16-07-2024,13924530042.367
17-07-2024,13658728035.776
18-07-2024,13585602817.158998
19-07-2024,14281189671.414001
20-07-2024,14698715786.243
21-07-2024,14771500554.185001
22-07-2024,14429442845.734001
23-07-2024,14246515079.369999
24-07-2024,14290185800.939999
25-07-2024,13702301290.372002
26-07-2024,14400163086.373
27-07-2024,14133337011.172
28-07-2024,14305477579.229
29-07-2024,14347401592.865002
30-07-2024,14031902097.266
31-07-2024,13720898753.654001
01-08-2024,13849627964.845001
02-08-2024,12952808206.691998
03-08-2024,12174819067.310001
04-08-2024,11717317485.719
05-08-2024,9346992650.804
06-08-2024,10214095732.687
07-08-2024,9968449946.220999
08-08-2024,11116284311.524002
09-08-2024,10861695018.08
10-08-2024,10728285628.244
11-08-2024,10155512186.001
12-08-2024,10412503390.597
13-08-2024,10511585764.588
14-08-2024,10911923757.424
15-08-2024,10820232371.996
16-08-2024,10888833263.84
17-08-2024,11127041750.805
18-08-2024,11069658018.537998
19-08-2024,11146255451.453999
20-08-2024,11320839880.31
21-08-2024,11824450666.939
22-08-2024,11724435341.773
23-08-2024,12785296985.306
24-08-2024,12976272394.276001
25-08-2024,12921875415.964
26-08-2024,12273681659.022
27-08-2024,11236518000.284
28-08-2024,10955559248.014
29-08-2024,11044537014.943
30-08-2024,11007158318.043
31-08-2024,11040122627.619
01-09-2024,10754466151.622997
02-09-2024,11183383224.527
03-09-2024,10942363811.011
04-09-2024,10901507232.253
05-09-2024,10822031046.367
06-09-2024,10591071469.838001
07-09-2024,10685926208.24
08-09-2024,10927677078.319
09-09-2024,11542105166.263
10-09-2024,11543661311.027
11-09-2024,11397292559.654999
12-09-2024,11763159273.727
13-09-2024,12407333159.567001
14-09-2024,12612413729.008
15-09-2024,12121060657.013998
16-09-2024,11821411206.239998
17-09-2024,12080980984.060001
18-09-2024,12282979476.587997
19-09-2024,13190978374.604
20-09-2024,13415139281.762999
21-09-2024,13761382813.503998
22-09-2024,13232251477.145
23-09-2024,13652619167.287
24-09-2024,14199994290.868
25-09-2024,13874036923.258999
26-09-2024,14427206335.342999
27-09-2024,14816060879.437
28-09-2024,14684897324.169003
29-09-2024,14828515110.564
30-09-2024,14504096257.866999
01-10-2024,15070274741.129997
02-10-2024,13748591907.716
03-10-2024,12726178576.604004
04-10-2024,13248869023.706999
05-10-2024,13189864252.304
06-10-2024,13478608628.352999
